codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101524;QA;QUÍMICA AMBIENTAL;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0668;0,8840;0,8172
101523;FQ;FUNDAMENTOS DE QUÍMICA;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,1763;0,9919;0,8156
101532;BIA;BASES DE INGENIERIA AMBIENTAL;101545;EST;ESTADÍSTICA;0;0;0,0031;0,8184;0,8153
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;0;0;0,0435;0,8544;0,8109
101549;GE;GESTIÓN DE ECOSISTEMAS;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0395;0,8477;0,8082
101555;EV;ECOFISIOLOGÍA VEGETAL;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0125;0,8203;0,8078
101529;EA;ECONOMÍA AMBIENTAL;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0297;0,8373;0,8076
101523;FQ;FUNDAMENTOS DE QUÍMICA;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0147;0,8221;0,8074
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;101557;GCP;GESTIÓN DE CAZA Y PESCA;0;0;0,1624;0,9694;0,8070
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;0;0;0,1155;0,9221;0,8066
101524;QA;QUÍMICA AMBIENTAL;101532;BIA;BASES DE INGENIERIA AMBIENTAL;0;0;0,0691;0,8754;0,8063
101529;EA;ECONOMÍA AMBIENTAL;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;0;0;0,0020;0,8066;0,8046
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;101545;EST;ESTADÍSTICA;0;0;0,0001;0,8017;0,8016
101523;FQ;FUNDAMENTOS DE QUÍMICA;660007;EDAF;EDAFOLOGÍA;0;0;0,0695;0,8702;0,8007
101524;QA;QUÍMICA AMBIENTAL;660007;EDAF;EDAFOLOGÍA;0;0;0,0815;0,8813;0,7998
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;660007;EDAF;EDAFOLOGÍA;0;0;0,0566;0,8550;0,7984
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;0;0;0,0105;0,8088;0,7983
101547;CE;CALIDAD Y EMPRESA;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;0;0;0,0068;0,8049;0,7981
