codigo_1;sigla_1;asignatura_1;curso_1;cuatrimestre_1;codigo_2;sigla_2;asignatura_2;curso_2;cuatrimestre_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico;u_confluencia;u_solapamiento_sincronico;u_solapamiento_diacronico
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0695;0,8702;0,8007;1,0000;0,0000;0,0975
101524;QA;QUÍMICA AMBIENTAL;2;1C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0815;0,8813;0,7998;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0566;0,8550;0,7984;1,0000;0,0000;0,0330
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;4;1C;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;0;0;0,0105;0,8088;0,7983;1,0000;0,0000;0,0000
101547;CE;CALIDAD Y EMPRESA;4;1C;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;4;1C;0;0;0,0068;0,8049;0,7981;1,0000;0,0000;0,0000
101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;4;2C;0;0;0,0075;0,8046;0,7971;1,0000;0,0000;0,0000
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;1;2C;101547;CE;CALIDAD Y EMPRESA;4;1C;0;0;0,0302;0,8268;0,7966;1,0000;0,0000;0,0000
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;3;1C;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;3;2C;0;0;0,0353;0,8307;0,7954;1,0000;0,0000;0,0000
101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;4;1C;660006;GEO;GEOLOGÍA;1;1C;0;0;0,0018;0,7953;0,7935;1,0000;0,0000;0,0000
101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;0;0;0,0369;0,8246;0,7877;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0000;0,7838;0,7838;1,0000;0,0000;0,0000
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;1;2C;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;3;2C;0;0;0,0179;0,7993;0,7814;1,0000;0,0000;0,0000
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;2;1C;101528;FM;FUNDAMENTOS DE MATEMÁTICAS;1;1C;0;0;0,0130;0,7938;0,7808;1,0000;0,0000;0,0000
101547;CE;CALIDAD Y EMPRESA;4;1C;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;4;2C;0;0;0,0623;0,8424;0,7801;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0067;0,7865;0,7798;1,0000;0,0000;0,0000
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;4;2C;0;0;0,0207;0,7998;0,7791;1,0000;0,0000;0,0000
101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;3;2C;101547;CE;CALIDAD Y EMPRESA;4;1C;0;0;0,1420;0,9209;0,7789;1,0000;0,0000;0,4600
